Data,Preço (R$),Variação (%),Quantidade,
19/02/2015,"51294,03","0,03","2485146,0",
18/02/2015,"51280,36","1,27","2940688,0",
13/02/2015,"50635,92","2,23","3888107,0",
12/02/2015,"49532,72","2,68","3828520,0",
11/02/2015,"48239,67","-0,56","4307622,0",
10/02/2015,"48510,28","-1,77","3796049,0",
09/02/2015,"49382,58","1,21","3658907,0",
06/02/2015,"48792,27","-0,9","4591440,0",
05/02/2015,"49233,85","-0,14","4003968,0",
04/02/2015,"49301,05","0,69","4811275,0",
03/02/2015,"48963,66","2,76","4819816,0",
02/02/2015,"47650,73","1,58","3247780,0",
30/01/2015,"46907,68","-1,79","4846621,0",
29/01/2015,"47762,24","0,14","4405476,0",
28/01/2015,"47694,54","-1,85","4241414,0",
27/01/2015,"48591,23","0,03","3890909,0",
26/01/2015,"48576,55","-0,41","2774186,0",
23/01/2015,"48775,3","-1,35","3081606,0",
22/01/2015,"49442,62","0,44","4952273,0",
21/01/2015,"49224,08","2,81","3561430,0",
20/01/2015,"47876,66","0,25","2899144,0",
19/01/2015,"47758,01","-2,57","2096017,0",
16/01/2015,"49016,52","2,06","3344912,0",
15/01/2015,"48026,31","0,8","4463625,0",
14/01/2015,"47645,87","-0,82","3697182,0",
13/01/2015,"48041,67","-0,2","3881645,0",
12/01/2015,"48139,74","-1,43","3246063,0",
09/01/2015,"48840,25","-2,21","2999244,0",
08/01/2015,"49943,3","0,97","3621862,0",
07/01/2015,"49462,91","3,05","4408794,0",
06/01/2015,"48000,92","1,02","4559276,0",
05/01/2015,"47516,82","-2,05","3866056,0",
02/01/2015,"48512,22","-2,99","2882090,0",
30/12/2014,"50007,41","-1,16","2925304,0",
29/12/2014,"50593,82","0,9","1852527,0",
26/12/2014,"50144,63","-1,46","1911144,0",
23/12/2014,"50889,81","1,53","2668328,0",
22/12/2014,"50120,86","0,95","2675205,0",
19/12/2014,"49650,98","2,38","3620415,0",
18/12/2014,"48495,7","-0,45","4240484,0",
17/12/2014,"48713,64","3,63","6209492,0",
16/12/2014,"47007,51","-0,02","5339881,0",
15/12/2014,"47018,68","-2,05","4685720,0",
12/12/2014,"48001,98","-3,73","3756728,0",
11/12/2014,"49861,81","0,63","3828879,0",
10/12/2014,"49548,08","-1,29","3168907,0",
09/12/2014,"50193,47","-0,16","3852878,0",
08/12/2014,"50274,07","-3,31","3302589,0",
05/12/2014,"51992,89","1,1","2530145,0",
04/12/2014,"51426,87","-1,71","2913305,0",
03/12/2014,"52320,48","1,37","2724607,0",
02/12/2014,"51612,47","-1,27","3296415,0",
01/12/2014,"52276,58","-4,47","4312809,0",
28/11/2014,"54724,0","0,0","2637724,0",
27/11/2014,"54721,32","-0,68","2292717,0",
26/11/2014,"55098,47","-0,83","3033293,0",
25/11/2014,"55560,81","0,28","5033206,0",
24/11/2014,"55406,91","-1,21","4588699,0",
21/11/2014,"56084,04","5,02","6026202,0",
19/11/2014,"53402,81","2,58","4251304,0",
18/11/2014,"52061,86","1,57","3639741,0",
17/11/2014,"51256,99","-1,0","2824585,0",
14/11/2014,"51772,4","-0,14","3789284,0",
13/11/2014,"51846,03","-2,14","3032941,0",
12/11/2014,"52978,89","0,96","3198594,0",
11/11/2014,"52474,27","-0,48","2678503,0",
10/11/2014,"52725,38","-0,93","2973736,0",
07/11/2014,"53222,85","1,11","3592633,0",
06/11/2014,"52637,06","-1,98","3692537,0",
05/11/2014,"53698,42","-1,26","2901570,0",
04/11/2014,"54383,59","0,81","3529761,0",
03/11/2014,"53947,21","-1,25","3665198,0",
31/10/2014,"54628,6","4,38","5348249,0",
