symbol,price,date
ABCB4,11.9,01-02-2014
ABCB4,12.12,01-03-2014
ABCB4,12.25,01-06-2014
ABCB4,12.25,01-07-2014
ABCB4,12.54,01-08-2014
ABCB4,12.18,01-09-2014
ABCB4,12.03,01-10-2014
ABCB4,12.1,01-13-2014
ABCB4,12.18,01-14-2014
ABCB4,12.19,01-15-2014
ABCB4,11.91,01-16-2014
ABCB4,12.15,01-17-2014
ABCB4,12.05,01-20-2014
ABCB4,12.07,01-21-2014
ABCB4,12.0,01-22-2014
ABCB4,12.0,01-23-2014
ABCB4,11.78,01-24-2014
ABCB4,11.9,01-27-2014
ABCB4,12.29,01-28-2014
ABCB4,12.19,01-29-2014
ABCB4,11.85,01-30-2014
ABCB4,11.93,01-31-2014
ABCB4,11.52,02-03-2014
ABCB4,11.7,02-04-2014
ABCB4,12.09,02-05-2014
ABCB4,12.13,02-06-2014
ABCB4,12.2,02-07-2014
ABCB4,11.9,02-10-2014
ABCB4,12.3,02-11-2014
ABCB4,11.87,02-12-2014
ABCB4,11.77,02-13-2014
ABCB4,11.7,02-14-2014
ABCB4,11.81,02-17-2014
ABCB4,11.64,02-18-2014
ABCB4,11.75,02-19-2014
ABCB4,11.5,02-20-2014
ABCB4,11.48,02-21-2014
ABCB4,11.6,02-24-2014
ABCB4,11.34,02-25-2014
ABCB4,11.1,02-26-2014
ABCB4,11.25,02-27-2014
ABCB4,11.25,02-28-2014
ABCB4,11.48,03-05-2014
ABCB4,11.65,03-06-2014
ABCB4,11.55,03-07-2014
ABCB4,11.15,03-10-2014
ABCB4,11.19,03-11-2014
ABCB4,11.09,03-12-2014
ABCB4,11.1,03-13-2014
ABCB4,10.9,03-14-2014
ABCB4,10.8,03-17-2014
ABCB4,10.96,03-18-2014
ABCB4,11.34,03-19-2014
ABCB4,11.32,03-20-2014
ABCB4,11.59,03-21-2014
ABCB4,11.71,03-24-2014
ABCB4,11.68,03-25-2014
ABCB4,11.55,03-26-2014
ABCB4,11.65,03-27-2014
ABCB4,12.0,03-28-2014
ABCB4,12.65,03-31-2014
ABCB4,12.57,04-01-2014
ABCB4,12.89,04-02-2014
ABCB4,12.9,04-03-2014
ABCB4,12.71,04-04-2014
ABCB4,13.2,04-07-2014
ABCB4,12.95,04-08-2014
ABCB4,13.0,04-09-2014
ABCB4,12.85,04-10-2014
ABCB4,12.7,04-11-2014
ABCB4,12.8,04-14-2014
ABCB4,12.65,04-15-2014
ABCB4,12.55,04-16-2014
ABCB4,12.56,04-17-2014
ABCB4,12.54,04-22-2014
ABCB4,12.53,04-23-2014
ABCB4,12.6,04-24-2014
ABCB4,12.5,04-25-2014
ABCB4,12.55,04-28-2014
ABCB4,12.85,04-29-2014
ABCB4,13.05,04-30-2014
ABCB4,13.05,05-02-2014
ABCB4,13.15,05-05-2014
ABCB4,13.5,05-06-2014
ABCB4,13.59,05-07-2014
ABCB4,13.6,05-08-2014
ABCB4,13.5,05-09-2014
ABCB4,13.41,05-12-2014
ABCB4,13.55,05-13-2014
ABCB4,13.9,05-14-2014
ABCB4,13.53,05-15-2014
ABCB4,13.6,05-16-2014
ABCB4,13.5,05-19-2014
ABCB4,13.27,05-20-2014
ABCB4,13.15,05-21-2014
ABCB4,13.3,05-22-2014
ABCB4,13.05,05-23-2014
ABCB4,12.99,05-26-2014
ABCB4,12.82,05-27-2014
ABCB4,13.02,05-28-2014
ABCB4,13.14,05-29-2014
ABCB4,13.11,05-30-2014
ABCB4,13.07,06-02-2014
ABCB4,13.2,06-03-2014
ABCB4,13.0,06-04-2014
ABCB4,13.0,06-05-2014
ABCB4,13.3,06-06-2014
ABCB4,13.7,06-09-2014
ABCB4,13.51,06-10-2014
ABCB4,13.56,06-11-2014
ABCB4,13.75,06-13-2014
ABCB4,13.61,06-16-2014
ABCB4,13.52,06-17-2014
ABCB4,13.73,06-18-2014
ABCB4,13.5,06-20-2014
ABCB4,13.5,06-23-2014
ABCB4,13.69,06-24-2014
ABCB4,13.5,06-25-2014
ABCB4,13.58,06-26-2014
ABCB4,13.64,06-27-2014
ABCB4,13.6,06-30-2014
ABCB4,13.37,07-01-2014
ABCB4,13.33,07-02-2014
ABCB4,13.41,07-03-2014
ABCB4,13.44,07-04-2014
ABCB4,13.28,07-07-2014
ABCB4,13.29,07-08-2014
ABCB4,13.42,07-10-2014
ABCB4,13.36,07-11-2014
ABCB4,13.5,07-14-2014
ABCB4,13.55,07-15-2014
ABCB4,13.0,07-16-2014
ABCB4,13.06,07-17-2014
ABCB4,13.28,07-18-2014
ABCB4,13.28,07-21-2014
ABCB4,12.89,07-22-2014
